GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000:","Margin of Error; Less than $10,000:","Estimate; Less than $10,000: - Less than 20.0 percent","Margin of Error; Less than $10,000: - Less than 20.0 percent","Estimate; Less than $10,000: - 20.0 to 24.9 percent","Margin of Error; Less than $10,000: - 20.0 to 24.9 percent","Estimate; Less than $10,000: - 25.0 to 29.9 percent","Margin of Error; Less than $10,000: - 25.0 to 29.9 percent","Estimate; Less than $10,000: - 30.0 to 34.9 percent","Margin of Error; Less than $10,000: - 30.0 to 34.9 percent","Estimate; Less than $10,000: - 35.0 to 39.9 percent","Margin of Error; Less than $10,000: - 35.0 to 39.9 percent","Estimate; Less than $10,000: - 40.0 to 49.9 percent","Margin of Error; Less than $10,000: - 40.0 to 49.9 percent","Estimate; Less than $10,000: - 50.0 percent or more","Margin of Error; Less than $10,000: - 50.0 percent or more","Estimate; Less than $10,000: - Not computed","Margin of Error; Less than $10,000: - Not computed","Estimate; $10,000 to $19,999:","Margin of Error; $10,000 to $19,999:","Estimate; $10,000 to $19,999: - Less than 20.0 percent","Margin of Error; $10,000 to $19,999: - Less than 20.0 percent","Estimate; $10,000 to $19,999: - 20.0 to 24.9 percent","Margin of Error; $10,000 to $19,999: - 20.0 to 24.9 percent","Estimate; $10,000 to $19,999: - 25.0 to 29.9 percent","Margin of Error; $10,000 to $19,999: - 25.0 to 29.9 percent","Estimate; $10,000 to $19,999: - 30.0 to 34.9 percent","Margin of Error; $10,000 to $19,999: - 30.0 to 34.9 percent","Estimate; $10,000 to $19,999: - 35.0 to 39.9 percent","Margin of Error; $10,000 to $19,999: - 35.0 to 39.9 percent","Estimate; $10,000 to $19,999: - 40.0 to 49.9 percent","Margin of Error; $10,000 to $19,999: - 40.0 to 49.9 percent","Estimate; $10,000 to $19,999: - 50.0 percent or more","Margin of Error; $10,000 to $19,999: - 50.0 percent or more","Estimate; $10,000 to $19,999: - Not computed","Margin of Error; $10,000 to $19,999: - Not computed","Estimate; $20,000 to $34,999:","Margin of Error; $20,000 to $34,999:","Estimate; $20,000 to $34,999: - Less than 20.0 percent","Margin of Error; $20,000 to $34,999: - Less than 20.0 percent","Estimate; $20,000 to $34,999: - 20.0 to 24.9 percent","Margin of Error; $20,000 to $34,999: - 20.0 to 24.9 percent","Estimate; $20,000 to $34,999: - 25.0 to 29.9 percent","Margin of Error; $20,000 to $34,999: - 25.0 to 29.9 percent","Estimate; $20,000 to $34,999: - 30.0 to 34.9 percent","Margin of Error; $20,000 to $34,999: - 30.0 to 34.9 percent","Estimate; $20,000 to $34,999: - 35.0 to 39.9 percent","Margin of Error; $20,000 to $34,999: - 35.0 to 39.9 percent","Estimate; $20,000 to $34,999: - 40.0 to 49.9 percent","Margin of Error; $20,000 to $34,999: - 40.0 to 49.9 percent","Estimate; $20,000 to $34,999: - 50.0 percent or more","Margin of Error; $20,000 to $34,999: - 50.0 percent or more","Estimate; $20,000 to $34,999: - Not computed","Margin of Error; $20,000 to $34,999: - Not computed","Estimate; $35,000 to $49,999:","Margin of Error; $35,000 to $49,999:","Estimate; $35,000 to $49,999: - Less than 20.0 percent","Margin of Error; $35,000 to $49,999: - Less than 20.0 percent","Estimate; $35,000 to $49,999: - 20.0 to 24.9 percent","Margin of Error; $35,000 to $49,999: - 20.0 to 24.9 percent","Estimate; $35,000 to $49,999: - 25.0 to 29.9 percent","Margin of Error; $35,000 to $49,999: - 25.0 to 29.9 percent","Estimate; $35,000 to $49,999: - 30.0 to 34.9 percent","Margin of Error; $35,000 to $49,999: - 30.0 to 34.9 percent","Estimate; $35,000 to $49,999: - 35.0 to 39.9 percent","Margin of Error; $35,000 to $49,999: - 35.0 to 39.9 percent","Estimate; $35,000 to $49,999: - 40.0 to 49.9 percent","Margin of Error; $35,000 to $49,999: - 40.0 to 49.9 percent","Estimate; $35,000 to $49,999: - 50.0 percent or more","Margin of Error; $35,000 to $49,999: - 50.0 percent or more","Estimate; $35,000 to $49,999: - Not computed","Margin of Error; $35,000 to $49,999: - Not computed","Estimate; $50,000 to $74,999:","Margin of Error; $50,000 to $74,999:","Estimate; $50,000 to $74,999: - Less than 20.0 percent","Margin of Error; $50,000 to $74,999: - Less than 20.0 percent","Estimate; $50,000 to $74,999: - 20.0 to 24.9 percent","Margin of Error; $50,000 to $74,999: - 20.0 to 24.9 percent","Estimate; $50,000 to $74,999: - 25.0 to 29.9 percent","Margin of Error; $50,000 to $74,999: - 25.0 to 29.9 percent","Estimate; $50,000 to $74,999: - 30.0 to 34.9 percent","Margin of Error; $50,000 to $74,999: - 30.0 to 34.9 percent","Estimate; $50,000 to $74,999: - 35.0 to 39.9 percent","Margin of Error; $50,000 to $74,999: - 35.0 to 39.9 percent","Estimate; $50,000 to $74,999: - 40.0 to 49.9 percent","Margin of Error; $50,000 to $74,999: - 40.0 to 49.9 percent","Estimate; $50,000 to $74,999: - 50.0 percent or more","Margin of Error; $50,000 to $74,999: - 50.0 percent or more","Estimate; $50,000 to $74,999: - Not computed","Margin of Error; $50,000 to $74,999: - Not computed","Estimate; $75,000 to $99,999:","Margin of Error; $75,000 to $99,999:","Estimate; $75,000 to $99,999: - Less than 20.0 percent","Margin of Error; $75,000 to $99,999: - Less than 20.0 percent","Estimate; $75,000 to $99,999: - 20.0 to 24.9 percent","Margin of Error; $75,000 to $99,999: - 20.0 to 24.9 percent","Estimate; $75,000 to $99,999: - 25.0 to 29.9 percent","Margin of Error; $75,000 to $99,999: - 25.0 to 29.9 percent","Estimate; $75,000 to $99,999: - 30.0 to 34.9 percent","Margin of Error; $75,000 to $99,999: - 30.0 to 34.9 percent","Estimate; $75,000 to $99,999: - 35.0 to 39.9 percent","Margin of Error; $75,000 to $99,999: - 35.0 to 39.9 percent","Estimate; $75,000 to $99,999: - 40.0 to 49.9 percent","Margin of Error; $75,000 to $99,999: - 40.0 to 49.9 percent","Estimate; $75,000 to $99,999: - 50.0 percent or more","Margin of Error; $75,000 to $99,999: - 50.0 percent or more","Estimate; $75,000 to $99,999: - Not computed","Margin of Error; $75,000 to $99,999: - Not computed","Estimate; $100,000 to $149,999:","Margin of Error; $100,000 to $149,999:","Estimate; $100,000 to $149,999: - Less than 20.0 percent","Margin of Error; $100,000 to $149,999: - Less than 20.0 percent","Estimate; $100,000 to $149,999: - 20.0 to 24.9 percent","Margin of Error; $100,000 to $149,999: - 20.0 to 24.9 percent","Estimate; $100,000 to $149,999: - 25.0 to 29.9 percent","Margin of Error; $100,000 to $149,999: - 25.0 to 29.9 percent","Estimate; $100,000 to $149,999: - 30.0 to 34.9 percent","Margin of Error; $100,000 to $149,999: - 30.0 to 34.9 percent","Estimate; $100,000 to $149,999: - 35.0 to 39.9 percent","Margin of Error; $100,000 to $149,999: - 35.0 to 39.9 percent","Estimate; $100,000 to $149,999: - 40.0 to 49.9 percent","Margin of Error; $100,000 to $149,999: - 40.0 to 49.9 percent","Estimate; $100,000 to $149,999: - 50.0 percent or more","Margin of Error; $100,000 to $149,999: - 50.0 percent or more","Estimate; $100,000 to $149,999: - Not computed","Margin of Error; $100,000 to $149,999: - Not computed","Estimate; $150,000 or more:","Margin of Error; $150,000 or more:","Estimate; $150,000 or more: - Less than 20.0 percent","Margin of Error; $150,000 or more: - Less than 20.0 percent","Estimate; $150,000 or more: - 20.0 to 24.9 percent","Margin of Error; $150,000 or more: - 20.0 to 24.9 percent","Estimate; $150,000 or more: - 25.0 to 29.9 percent","Margin of Error; $150,000 or more: - 25.0 to 29.9 percent","Estimate; $150,000 or more: - 30.0 to 34.9 percent","Margin of Error; $150,000 or more: - 30.0 to 34.9 percent","Estimate; $150,000 or more: - 35.0 to 39.9 percent","Margin of Error; $150,000 or more: - 35.0 to 39.9 percent","Estimate; $150,000 or more: - 40.0 to 49.9 percent","Margin of Error; $150,000 or more: - 40.0 to 49.9 percent","Estimate; $150,000 or more: - 50.0 percent or more","Margin of Error; $150,000 or more: - 50.0 percent or more","Estimate; $150,000 or more: - Not computed","Margin of Error; $150,000 or more: - Not computed"
1400000US48453000101,48453000101,"Census Tract 1.01, Travis County, Texas",1176,120,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,47,60,38,60,0,13,0,13,0,13,0,13,0,13,9,14,0,13,35,23,8,12,0,13,0,13,4,7,0,13,0,13,23,21,0,13,74,43,37,32,10,15,7,11,14,20,0,13,6,10,0,13,0,13,171,69,104,57,0,13,12,19,0,13,8,12,7,11,40,30,0,13,103,64,27,25,12,17,17,21,0,13,43,50,4,7,0,13,0,13,266,93,104,49,54,38,54,50,0,13,14,23,8,14,32,46,0,13,480,108,407,100,48,36,8,14,17,17,0,13,0,13,0,13,0,13
1400000US48453000102,48453000102,"Census Tract 1.02, Travis County, Texas",1043,78,23,27,0,13,0,13,0,13,0,13,0,13,0,13,17,25,6,10,27,25,0,13,0,13,0,13,0,13,11,16,9,13,7,11,0,13,62,34,0,13,7,11,0,13,8,13,0,13,9,13,38,30,0,13,58,39,6,10,24,26,16,17,0,13,0,13,0,13,12,18,0,13,95,57,28,29,26,26,0,13,0,13,0,13,41,37,0,13,0,13,69,42,37,30,0,13,0,13,7,12,25,31,0,13,0,13,0,13,187,79,100,51,11,18,16,24,42,61,10,15,0,13,8,13,0,13,522,99,433,92,63,38,18,21,8,12,0,13,0,13,0,13,0,13
1400000US48453000203,48453000203,"Census Tract 2.03, Travis County, Texas",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US48453000204,48453000204,"Census Tract 2.04, Travis County, Texas",686,104,50,41,0,13,0,13,0,13,0,13,0,13,0,13,50,41,0,13,27,42,0,13,0,13,0,13,0,13,27,42,0,13,0,13,0,13,8,14,0,13,0,13,0,13,0,13,0,13,0,13,8,14,0,13,32,24,5,10,0,13,10,14,9,14,0,13,0,13,8,12,0,13,114,59,55,49,12,18,18,19,0,13,7,11,10,16,12,18,0,13,92,43,31,25,19,20,14,16,11,17,0,13,17,20,0,13,0,13,96,44,67,38,5,9,24,23,0,13,0,13,0,13,0,13,0,13,267,69,214,73,23,23,0,13,10,15,0,13,20,23,0,13,0,13
1400000US48453000205,48453000205,"Census Tract 2.05, Travis County, Texas",821,186,14,25,0,13,0,13,0,13,0,13,0,13,0,13,14,25,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,59,46,14,23,0,13,0,13,0,13,0,13,29,33,16,25,0,13,74,83,0,13,0,13,0,13,0,13,0,13,13,22,61,80,0,13,133,73,54,53,0,13,0,13,43,45,22,34,0,13,14,22,0,13,108,90,73,82,15,27,0,13,20,30,0,13,0,13,0,13,0,13,219,105,88,49,56,52,48,65,27,41,0,13,0,13,0,13,0,13,214,116,156,101,58,50,0,13,0,13,0,13,0,13,0,13,0,13
1400000US48453000206,48453000206,"Census Tract 2.06, Travis County, Texas",758,99,25,22,0,13,0,13,0,13,0,13,0,13,9,13,8,13,8,12,20,22,0,13,0,13,0,13,10,16,0,13,0,13,10,15,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,34,30,0,13,0,13,23,25,0,13,0,13,0,13,11,16,0,13,93,65,22,24,0,13,0,13,12,20,0,13,12,18,47,50,0,13,85,54,0,13,9,15,0,13,9,15,22,25,45,48,0,13,0,13,156,59,65,42,26,26,33,30,22,24,0,13,0,13,10,16,0,13,345,94,277,92,46,37,22,19,0,13,0,13,0,13,0,13,0,13
1400000US48453000302,48453000302,"Census Tract 3.02, Travis County, Texas",824,189,71,78,0,18,0,18,0,18,0,18,0,18,0,18,71,78,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,28,31,15,23,13,21,0,18,0,18,0,18,0,18,0,18,0,18,54,36,9,15,16,26,29,31,0,18,0,18,0,18,0,18,0,18,64,51,10,14,13,21,41,45,0,18,0,18,0,18,0,18,0,18,158,121,81,55,0,18,18,26,0,18,0,18,59,95,0,18,0,18,101,65,56,52,5,10,16,24,0,18,15,24,9,14,0,18,0,18,348,115,303,113,15,24,14,23,16,26,0,18,0,18,0,18,0,18
1400000US48453000304,48453000304,"Census Tract 3.04, Travis County, Texas",450,93,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,29,16,10,16,0,13,0,13,0,13,0,13,11,17,8,12,0,13,47,31,23,22,0,13,0,13,0,13,24,26,0,13,0,13,0,13,100,63,42,31,0,13,0,13,0,13,0,13,47,63,11,17,0,13,38,29,0,13,11,17,19,20,8,12,0,13,0,13,0,13,0,13,55,32,24,23,24,23,7,11,0,13,0,13,0,13,0,13,0,13,181,65,123,47,17,20,12,17,29,46,0,13,0,13,0,13,0,13
1400000US48453000305,48453000305,"Census Tract 3.05, Travis County, Texas",519,103,21,21,0,13,0,13,0,13,0,13,0,13,0,13,18,20,3,7,15,18,9,14,0,13,0,13,0,13,0,13,0,13,6,10,0,13,71,54,41,39,0,13,0,13,22,34,0,13,0,13,8,13,0,13,35,29,4,8,0,13,0,13,22,22,0,13,0,13,9,14,0,13,139,62,11,14,16,18,50,58,26,35,13,20,0,13,23,30,0,13,38,29,0,13,12,20,0,13,11,19,7,10,0,13,8,14,0,13,89,52,46,41,40,34,0,13,3,6,0,13,0,13,0,13,0,13,111,53,101,49,10,15,0,13,0,13,0,13,0,13,0,13,0,13
1400000US48453000306,48453000306,"Census Tract 3.06, Travis County, Texas",792,83,7,13,0,13,0,13,0,13,0,13,0,13,0,13,7,13,0,13,7,11,0,13,0,13,0,13,0,13,0,13,0,13,7,11,0,13,18,21,0,13,0,13,0,13,0,13,0,13,0,13,18,21,0,13,16,18,0,13,9,13,0,13,7,12,0,13,0,13,0,13,0,13,139,55,16,18,7,12,28,26,0,13,16,18,25,26,47,43,0,13,56,36,34,26,0,13,0,13,15,16,0,13,7,11,0,13,0,13,190,61,78,39,32,26,40,37,21,25,11,17,8,12,0,13,0,13,359,79,253,72,80,44,7,11,8,12,11,17,0,13,0,13,0,13
1400000US48453000307,48453000307,"Census Tract 3.07, Travis County, Texas",411,57,22,21,0,13,0,13,0,13,0,13,0,13,0,13,6,8,16,21,10,11,0,13,5,8,5,9,0,13,0,13,0,13,0,13,0,13,26,27,0,13,0,13,0,13,5,9,0,13,0,13,21,26,0,13,24,19,5,9,12,12,0,13,7,10,0,13,0,13,0,13,0,13,70,43,12,12,0,13,8,10,22,17,0,13,9,11,19,28,0,13,43,31,25,27,0,13,6,10,0,13,12,12,0,13,0,13,0,13,105,35,42,23,25,19,30,19,8,13,0,13,0,13,0,13,0,13,111,33,94,29,13,14,4,6,0,13,0,13,0,13,0,13,0,13
1400000US48453000401,48453000401,"Census Tract 4.01, Travis County, Texas",516,103,13,13,0,13,0,13,0,13,0,13,0,13,0,13,13,13,0,13,7,10,0,13,0,13,0,13,0,13,0,13,0,13,7,10,0,13,20,19,6,9,0,13,14,16,0,13,0,13,0,13,0,13,0,13,8,12,0,13,8,12,0,13,0,13,0,13,0,13,0,13,0,13,81,45,34,31,19,23,0,13,0,13,0,13,20,23,8,12,0,13,81,51,34,32,37,34,0,13,10,15,0,13,0,13,0,13,0,13,162,72,87,53,30,24,5,10,25,26,7,11,8,13,0,13,0,13,144,65,133,66,6,10,5,9,0,13,0,13,0,13,0,13,0,13
1400000US48453000402,48453000402,"Census Tract 4.02, Travis County, Texas",582,91,15,26,0,13,0,13,0,13,0,13,0,13,0,13,15,26,0,13,36,35,0,13,6,10,0,13,18,28,0,13,0,13,12,14,0,13,73,42,28,34,0,13,0,13,0,13,7,13,0,13,38,36,0,13,80,52,24,29,20,31,0,13,0,13,17,21,0,13,19,25,0,13,173,76,76,47,24,35,39,42,0,13,34,35,0,13,0,13,0,13,63,43,9,14,36,37,9,14,9,14,0,13,0,13,0,13,0,13,127,56,52,31,53,36,0,13,22,31,0,13,0,13,0,13,0,13,15,13,15,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US48453000500,48453000500,"Census Tract 5, Travis County, Texas",485,80,10,15,0,13,0,13,0,13,0,13,0,13,0,13,10,15,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,19,31,0,13,0,13,0,13,0,13,0,13,19,31,0,13,0,13,37,41,37,41,0,13,0,13,0,13,0,13,0,13,0,13,0,13,98,58,42,35,10,18,0,13,0,13,0,13,25,30,21,32,0,13,40,39,40,39,0,13,0,13,0,13,0,13,0,13,0,13,0,13,43,45,35,44,8,13,0,13,0,13,0,13,0,13,0,13,0,13,238,69,206,65,32,39,0,13,0,13,0,13,0,13,0,13,0,13
1400000US48453000601,48453000601,"Census Tract 6.01, Travis County, Texas",5,8,5,8,0,20,0,20,0,20,0,20,0,20,0,20,5,8,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20
1400000US48453000603,48453000603,"Census Tract 6.03, Travis County, Texas",58,39,30,29,0,18,0,18,0,18,0,18,0,18,0,18,30,29,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,15,17,0,18,15,17,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,9,14,9,14,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,4,8,4,8,0,18,0,18,0,18,0,18,0,18,0,18,0,18
1400000US48453000604,48453000604,"Census Tract 6.04, Travis County, Texas",12,20,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,12,20,12,20,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
1400000US48453000700,48453000700,"Census Tract 7, Travis County, Texas",232,36,5,8,0,13,0,13,0,13,0,13,0,13,0,13,5,8,0,13,3,5,0,13,0,13,0,13,0,13,0,13,0,13,3,5,0,13,27,17,3,6,0,13,4,6,0,13,0,13,0,13,20,15,0,13,25,18,10,12,7,10,3,5,5,7,0,13,0,13,0,13,0,13,15,13,7,10,0,13,4,6,4,7,0,13,0,13,0,13,0,13,19,13,8,11,4,7,0,13,0,13,0,13,0,13,7,10,0,13,55,25,31,19,0,13,15,14,0,13,0,13,0,13,9,11,0,13,83,30,75,32,4,6,4,7,0,13,0,13,0,13,0,13,0,13
1400000US48453000801,48453000801,"Census Tract 8.01, Travis County, Texas",340,65,25,19,0,13,0,13,0,13,0,13,0,13,0,13,25,19,0,13,31,28,0,13,5,8,5,8,21,27,0,13,0,13,0,13,0,13,27,19,8,12,0,13,0,13,0,13,3,5,7,10,9,10,0,13,47,38,8,10,29,33,4,7,0,13,0,13,6,9,0,13,0,13,84,37,37,28,16,16,21,25,3,5,7,11,0,13,0,13,0,13,56,35,34,30,13,15,4,6,0,13,5,9,0,13,0,13,0,13,48,43,42,40,6,9,0,13,0,13,0,13,0,13,0,13,0,13,22,19,17,16,5,9,0,13,0,13,0,13,0,13,0,13,0,13
1400000US48453000802,48453000802,"Census Tract 8.02, Travis County, Texas",489,102,6,10,0,13,0,13,0,13,0,13,0,13,0,13,6,10,0,13,31,27,6,9,19,23,0,13,0,13,0,13,6,10,0,13,0,13,50,39,7,12,8,12,7,14,0,13,0,13,0,13,28,29,0,13,45,28,30,26,9,13,0,13,6,9,0,13,0,13,0,13,0,13,168,84,32,32,65,54,3,7,56,46,12,19,0,13,0,13,0,13,54,30,18,22,19,24,0,13,0,13,0,13,10,18,7,11,0,13,59,42,37,34,12,19,10,16,0,13,0,13,0,13,0,13,0,13,76,53,76,53,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US48453000803,48453000803,"Census Tract 8.03, Travis County, Texas",509,94,38,34,0,13,0,13,0,13,0,13,5,9,0,13,33,33,0,13,49,45,30,40,6,8,0,13,0,13,13,14,0,13,0,13,0,13,35,33,6,11,4,9,0,13,0,13,0,13,0,13,25,28,0,13,30,34,7,10,0,13,0,13,20,31,3,11,0,13,0,13,0,13,107,65,65,56,9,14,0,13,18,26,15,22,0,13,0,13,0,13,57,30,15,18,18,18,24,22,0,13,0,13,0,13,0,13,0,13,112,55,61,40,23,31,28,40,0,13,0,13,0,13,0,13,0,13,81,51,50,36,31,39,0,13,0,13,0,13,0,13,0,13,0,13
1400000US48453000804,48453000804,"Census Tract 8.04, Travis County, Texas",354,51,28,23,0,13,0,13,0,13,0,13,4,6,0,13,24,22,0,13,32,26,0,13,0,13,0,13,3,5,0,13,0,13,29,25,0,13,43,25,0,13,9,14,9,14,0,13,6,9,3,5,16,12,0,13,40,23,4,6,0,13,11,15,0,13,0,13,14,12,11,14,0,13,37,17,21,16,7,9,4,7,5,8,0,13,0,13,0,13,0,13,41,23,30,19,4,7,3,7,4,7,0,13,0,13,0,13,0,13,67,35,64,36,0,13,3,5,0,13,0,13,0,13,0,13,0,13,66,31,53,28,13,14,0,13,0,13,0,13,0,13,0,13,0,13
1400000US48453000901,48453000901,"Census Tract 9.01, Travis County, Texas",321,66,28,26,6,9,0,13,0,13,0,13,0,13,0,13,18,22,4,7,51,29,0,13,0,13,5,7,4,6,0,13,3,6,39,28,0,13,17,16,9,10,0,13,0,13,0,13,0,13,8,13,0,13,0,13,43,28,18,22,0,13,7,10,0,13,0,13,4,8,14,16,0,13,31,23,31,23,0,13,0,13,0,13,0,13,0,13,0,13,0,13,57,24,20,20,5,7,22,16,0,13,0,13,10,13,0,13,0,13,25,18,25,18,0,13,0,13,0,13,0,13,0,13,0,13,0,13,69,48,42,30,0,13,27,41,0,13,0,13,0,13,0,13,0,13
1400000US48453000902,48453000902,"Census Tract 9.02, Travis County, Texas",937,157,59,40,15,18,0,18,8,13,0,18,0,18,0,18,36,37,0,18,88,53,0,18,11,18,0,18,7,11,7,11,8,13,55,41,0,18,198,97,19,26,35,35,83,76,11,18,6,10,13,21,31,35,0,18,82,60,23,27,0,18,11,17,0,18,0,18,42,48,6,12,0,18,199,74,88,46,11,17,51,43,12,18,24,25,13,20,0,18,0,18,128,71,73,61,41,33,14,16,0,18,0,18,0,18,0,18,0,18,113,64,71,49,42,42,0,18,0,18,0,18,0,18,0,18,0,18,70,46,70,46,0,18,0,18,0,18,0,18,0,18,0,18,0,18
1400000US48453001000,48453001000,"Census Tract 10, Travis County, Texas",758,118,33,41,0,13,0,13,0,13,0,13,0,13,0,13,0,13,33,41,27,24,0,13,10,16,0,13,12,16,0,13,5,8,0,13,0,13,123,61,20,22,0,13,18,20,0,13,10,15,20,23,55,45,0,13,113,65,28,25,29,42,11,17,10,16,24,38,11,16,0,13,0,13,133,64,105,62,0,13,5,8,0,13,12,15,11,17,0,13,0,13,56,33,10,16,19,20,12,14,0,13,0,13,8,12,7,12,0,13,129,58,75,38,15,17,32,46,0,13,7,12,0,13,0,13,0,13,144,51,120,49,6,9,18,19,0,13,0,13,0,13,0,13,0,13
1400000US48453001100,48453001100,"Census Tract 11, Travis County, Texas",1334,269,25,45,0,18,0,18,0,18,0,18,0,18,0,18,25,45,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,4,27,0,18,0,18,0,18,0,18,0,18,0,18,4,27,0,18,56,56,17,28,0,18,0,18,0,18,0,18,0,18,39,48,0,18,114,90,18,28,24,39,0,18,0,18,0,18,35,56,37,48,0,18,161,106,49,79,16,27,26,28,15,25,16,26,39,48,0,18,0,18,260,102,67,51,25,43,81,70,28,26,15,24,0,18,44,55,0,18,714,201,530,178,128,75,15,24,0,18,0,18,0,18,41,50,0,18
